CODIGO;FOTO;DESCRIPCION DEL PRODUCTO;ACTIVO;STOCK;
417-6;N/D;CLAVO NACIONAL 17X21 (2-11);S;24;
418-3;N/D;CLAVO NACIONAL 17X27 (2-1/2);S;17;
1823-4;N/D;CLAVO NACIONAL 18X27;S;21;
419-0;N/D;CLAVO NACIONAL 18X33 (3);S;42;
422-0;N/D;CLAVO P/CHAAPA RETORCIDO LUXEP;S;137;
421-3;N/D;CLAVO P/CHAPA LISO LUXEP;S;102;
1926-2;N/D;COCINA ELECTRICA 1 HORNARIA (4696);S;2;
1905-7;N/D;COCINA ELECTRICA 2 HORNARIA;S;3;
1994-1;N/D;CODO DESAGUE 45§X100MM TIGRE (26211000)*15;S;46;
1681-0;N/D;CODO DESAGUE 45§X40MM BR. TIGRE;S;37;
1682-7;N/D;CODO DESAGUE 45§X50MM BR. TIGRE;S;12;
1995-8;N/D;CODO DESAGUE 90§X100MM BLAN. TIGRE (26241006)*25;S;46;
1679-7;N/D;CODO DESAGUE 90§X50MM BLANCO TIGRE;S;22;
1686-5;N/D;CODO LR SOLD. 90§ C/ROSCA 20MMX1/2 TIGRE (35407782)*30;S;;
1947-7;N/D;CODO LR SOLD. 90§ C/ROSCA 25MMX1/2 TIGRE (35427821)*20;S;29;
1687-2;N/D;CODO LR SOLD. 90§ C/ROSCA 25MMX3/4 TIGRE (35407847)*40;S;11;
1688-9;N/D;CODO LR SOLD. 90§ C/ROSCA 32MMX3/4 TIGRE (35427872)*20;S;95;
1896-8;N/D;CODO REDUT. SOLD. 90§ 25X20MM TIGRE (22166662)*30;S;36;
1948-4;N/D;CODO REDUT. SOLD. 90§ 32X25MM TIGRE (22166760)*15;S;15;
1692-6;N/D;CODO SOLDABLE 90§ 20MM TIGRE (22150200)*50;S;158;
1693-3;N/D;CODO SOLDABLE 90§ 25MM TIGRE (22150251)*50;S;205;
1946-0;N/D;CODO SOLDABLE 90§ 32MM TIGRE (22150324)*25;S;30;
424-4;N/D;CODO SOLDABLE 90§ 40MM TIGRE (22150405)*15;S;5;
1793-0;N/D;CODO SOLDABLE 90§ 50MM TIGRE (22150502)*15;S;44;
425-1;N/D;COLA ALMASUPER 100GR EXTRA FUERTE;S;22;
426-8;N/D;COLA ALMASUPER 20G;S;384;
427-5;N/D;COLA ALMASUPER 50GR EXTRA FUERTE;S;12;
429-9;N/D;COLA CANO PVC 17G PISAFIX/FIRMEX *48/CJ;S;206;
430-5;N/D;COLA CANO PVC 17G TIGRE;S;174;
432-9;N/D;COLA P/SAPATERO 125GR;S;52;
434-3;N/D;COLA P/SAPATERO 250GR;S;21;
435-0;N/D;COLA P/SAPATERO 500GR;S;18;
444-2;N/D;COLADOR PLASTICO 7CM;S;41;
445-9;N/D;COLADOR PLASTICO 9CM SORTIDO COLOR;S;62;
1306-2;N/D;COLGADOR PARA HAMACA (PAR);S;15;
1856-2;N/D;COMEDERO CALLA PLASTICO 30CM;S;3;
457-2;N/D;COMEDERO POLLO BEMAC 3 KG - SIFON;S;19;
458-9;N/D;COMEDERO POLLO CALLA 1.0 MT;S;1;
459-6;N/D;COMEDERO POLLO CALLA 30 CM;S;2;
460-2;N/D;COMEDERO POLLO CALLA 50 CM;S;7;
461-9;N/D;COMEDERO POLLO TUBULAR ZATTI 03 KG;S;7;
462-6;N/D;COMEDERO POLLO TUBULAR ZATTI 05 KG;S;2;
463-3;N/D;COMEDERO POLLO TUBULAR ZATTI 20 KG;S;1;
1596-7;N/D;CONECTOR PLAST. TIRA BORNERA 10MM;S;29;
474-9;N/D;CONEXION FLEXIBLE PLASTICA 40CM;S;11;
475-6;N/D;CONEXION FLEXIBLE PLASTICO 50CM TIGRE;S;13;
487-9;N/D;CONSERVADORA AZUL 12LT;S;;
491-6;N/D;CONSERVADORA NEGRO 28LT;S;;
493-0;N/D;CONSERVADORA ROJO 12LT;S;;
500-5;N/D;CORTA U¥AS CART. 12PZ;S;114;
503-6;N/D;"CUCHARA ALBANIL 6"" LUXEP";S;13;
504-3;N/D;"CUCHARA ALBANIL 8""(TL42286)";S;8;
508-1;N/D;"CUCHILLO CARNECERO MANGO BLANCO 10"" (KC40716)";S;22;
586-9;N/D;"CUCHILLO CARNECERO MANGO BLANCO 8"" (KC40714)";S;24;
507-4;N/D;"CUCHILLO MULTIOSO MANGO NEGRO 7"" KC42116)";S;16;
505-0;N/D;"CUCHILLO MULTIUSO MANGO NEGRO 9"" (KC42118)";S;14;
506-7;N/D;"CUCHILLO STILLO MANGO BLANCO 7"" (KC47563)";S;12;
509-8;N/D;"CUCHILLO STILLO MANGO BLANCO 8"" (KC47564)";S;12;
